dt_abertura;Year;Month;Day
07/11/1943;1943;nov;7
08/11/1943;1943;nov;8
09/11/1943;1943;nov;9
10/11/1943;1943;nov;10
11/11/1943;1943;nov;11
12/11/1943;1943;nov;12
13/11/1943;1943;nov;13
14/11/1943;1943;nov;14
15/11/1943;1943;nov;15
16/11/1943;1943;nov;16
17/11/1943;1943;nov;17
18/11/1943;1943;nov;18
19/11/1943;1943;nov;19
20/11/1943;1943;nov;20
21/11/1943;1943;nov;21
22/11/1943;1943;nov;22
23/11/1943;1943;nov;23
24/11/1943;1943;nov;24
25/11/1943;1943;nov;25
26/11/1943;1943;nov;26
27/11/1943;1943;nov;27
28/11/1943;1943;nov;28
29/11/1943;1943;nov;29
30/11/1943;1943;nov;30
01/12/1943;1943;dez;1
02/12/1943;1943;dez;2
03/12/1943;1943;dez;3
04/12/1943;1943;dez;4
05/12/1943;1943;dez;5
06/12/1943;1943;dez;6
07/12/1943;1943;dez;7
08/12/1943;1943;dez;8
09/12/1943;1943;dez;9
10/12/1943;1943;dez;10
11/12/1943;1943;dez;11
12/12/1943;1943;dez;12
13/12/1943;1943;dez;13
14/12/1943;1943;dez;14
15/12/1943;1943;dez;15
16/12/1943;1943;dez;16
17/12/1943;1943;dez;17
18/12/1943;1943;dez;18
19/12/1943;1943;dez;19
20/12/1943;1943;dez;20
21/12/1943;1943;dez;21
22/12/1943;1943;dez;22
23/12/1943;1943;dez;23
24/12/1943;1943;dez;24
25/12/1943;1943;dez;25
26/12/1943;1943;dez;26
27/12/1943;1943;dez;27
28/12/1943;1943;dez;28
29/12/1943;1943;dez;29
30/12/1943;1943;dez;30
31/12/1943;1943;dez;31
01/01/1944;1944;jan;1
02/01/1944;1944;jan;2
03/01/1944;1944;jan;3
04/01/1944;1944;jan;4
05/01/1944;1944;jan;5
06/01/1944;1944;jan;6
07/01/1944;1944;jan;7
08/01/1944;1944;jan;8
09/01/1944;1944;jan;9
10/01/1944;1944;jan;10
11/01/1944;1944;jan;11
12/01/1944;1944;jan;12
13/01/1944;1944;jan;13
14/01/1944;1944;jan;14
15/01/1944;1944;jan;15
16/01/1944;1944;jan;16
17/01/1944;1944;jan;17
18/01/1944;1944;jan;18
19/01/1944;1944;jan;19
20/01/1944;1944;jan;20
21/01/1944;1944;jan;21
22/01/1944;1944;jan;22
23/01/1944;1944;jan;23
24/01/1944;1944;jan;24
25/01/1944;1944;jan;25
26/01/1944;1944;jan;26
27/01/1944;1944;jan;27
28/01/1944;1944;jan;28
29/01/1944;1944;jan;29
30/01/1944;1944;jan;30
31/01/1944;1944;jan;31
01/02/1944;1944;fev;1
02/02/1944;1944;fev;2
03/02/1944;1944;fev;3
04/02/1944;1944;fev;4
05/02/1944;1944;fev;5
06/02/1944;1944;fev;6
07/02/1944;1944;fev;7
08/02/1944;1944;fev;8
09/02/1944;1944;fev;9
10/02/1944;1944;fev;10
